Time,Boss,Event,Reporter
2019-12-02 05:01 AM,KAZZAK,CHECKED,Goob
2019-12-02 05:05 AM,AZUREGOS,CHECKED,Blakeatron
2019-12-02 05:40 AM,AZUREGOS,CHECKED,Durtgrub
2019-12-02 05:47 AM,KAZZAK,CHECKED,riss
2019-12-02 06:10 AM,AZUREGOS,CHECKED,Durtgrub
2019-12-02 06:10 AM,KAZZAK,CHECKED,riss
2019-12-02 06:26 AM,KAZZAK,CHECKED,riss
2019-12-02 06:30 AM,AZUREGOS,CHECKED,Durtgrub
2019-12-02 06:48 AM,AZUREGOS,CHECKED,Durtgrub
2019-12-02 06:56 AM,KAZZAK,CHECKED,Msa
2019-12-02 07:22 AM,AZUREGOS,CHECKED,ApachePrime
2019-12-02 07:46 AM,KAZZAK,CHECKED,Msa
2019-12-02 08:03 AM,AZUREGOS,CHECKED,Op
2019-12-02 08:03 AM,KAZZAK,CHECKED,Op
2019-12-02 08:30 AM,AZUREGOS,CHECKED,Op
2019-12-02 08:30 AM,KAZZAK,CHECKED,Op
2019-12-02 09:00 AM,AZUREGOS,CHECKED,Op
2019-12-02 09:00 AM,KAZZAK,CHECKED,Op
2019-12-02 09:30 AM,KAZZAK,CHECKED,Op
2019-12-02 09:31 AM,AZUREGOS,CHECKED,Op
2019-12-02 11:00 AM,AZUREGOS,CHECKED,Op
2019-12-02 11:00 AM,KAZZAK,CHECKED,Op
2019-12-02 11:30 AM,KAZZAK,CHECKED,Op
2019-12-02 11:30 AM,AZUREGOS,CHECKED,Op
2019-12-02 12:00 PM,AZUREGOS,CHECKED,Op
2019-12-02 12:00 PM,KAZZAK,CHECKED,Op
2019-12-02 12:20 PM,KAZZAK,CHECKED,Eldrimoth
2019-12-02 12:54 PM,KAZZAK,CHECKED,Eldrimoth
2019-12-02 01:31 PM,KAZZAK,CHECKED,Kainslayer
2019-12-02 01:59 PM,KAZZAK,CHECKED,Kainslayer
2019-12-02 02:00 PM,AZUREGOS,CHECKED,Op
2019-12-02 02:30 PM,AZUREGOS,CHECKED,Op
