Time,Boss,Event
12/5/2019 13:00,KAZZAK,CHECKED
12/5/2019 13:00,AZUREGOS,CHECKED
12/5/2019 13:48,AZUREGOS,CHECKED
12/5/2019 14:00,KAZZAK,CHECKED
12/5/2019 14:24,AZUREGOS,CHECKED
12/5/2019 14:30,AZUREGOS,CHECKED
12/5/2019 14:30,KAZZAK,CHECKED
12/5/2019 15:00,AZUREGOS,CHECKED
12/5/2019 15:00,KAZZAK,CHECKED
12/5/2019 16:32,KAZZAK,CHECKED
12/5/2019 17:23,AZUREGOS,CHECKED
12/5/2019 18:04,KAZZAK,CHECKED
12/5/2019 18:22,AZUREGOS,CHECKED
12/5/2019 18:38,KAZZAK,CHECKED
12/5/2019 18:44,AZUREGOS,CHECKED
12/5/2019 18:55,AZUREGOS,CHECKED
12/5/2019 18:58,KAZZAK,CHECKED
12/5/2019 19:20,AZUREGOS,CHECKED
12/5/2019 19:32,AZUREGOS,CHECKED
12/5/2019 19:49,KAZZAK,CHECKED
12/5/2019 19:57,AZUREGOS,CHECKED
12/5/2019 20:12,AZUREGOS,CHECKED
12/5/2019 23:58,AZUREGOS,CHECKED
12/6/2019 0:09,AZUREGOS,CHECKED
